Time,Year,Month,Day_of_week,Season,Temperature,Number_Of_Guest_Nights,Total_hours_worked,Sales_new_vehicles,Demand
5.0,3.0,7.0,3.0,3.0,35.0,39572370.0,1452.0,441524.0,2.8489999999999998
21.0,2.0,1.0,4.0,1.0,8.0,39454220.0,1338.0,401648.0,4.03
11.0,4.0,1.0,6.0,1.0,9.5,41699690.0,1303.0,40797.0,4.083
10.0,2.0,9.0,5.0,4.0,23.0,56797700.0,1438.0,495179.0,3.838
14.0,1.0,10.0,6.0,4.0,20.7,40890550.0,1434.0,378735.0,3.5660000000000003
19.0,3.0,4.0,5.0,2.0,26.0,42699480.0,1460.0,366146.0,3.343
0.0,2.0,1.0,7.0,1.0,3.7,39454220.0,1338.0,401648.0,3.3489999999999998
12.0,1.0,7.0,7.0,3.0,29.6,36895570.0,1465.0,4156.0,3.562
12.0,2.0,4.0,4.0,2.0,20.5,43862830.0,1480.0,354744.0,3.217
9.0,3.0,11.0,6.0,4.0,14.1,44483540.0,1474.0,44194.0,3.491
7.0,3.0,6.0,7.0,3.0,32.5,42360590.0,1476.0,45376.0,3.069
13.0,2.0,2.0,3.0,1.0,9.0,36792560.0,1420.0,484722.0,3.739
14.0,1.0,5.0,1.0,2.0,23.0,38330190.0,1381.0,331586.0,2.71
9.0,3.0,4.0,1.0,2.0,18.5,42699480.0,1460.0,366146.0,2.498
20.0,3.0,8.0,4.0,3.0,27.2,44530530.0,1399.0,364214.0,3.668
2.0,3.0,11.0,7.0,4.0,10.0,44483540.0,1474.0,44194.0,2.468
9.0,1.0,4.0,6.0,2.0,20.2,42178210.0,1488.0,324738.0,3.3089999999999997
11.0,3.0,10.0,2.0,4.0,19.4,42163910.0,1439.0,418987.0,3.0010000000000003
3.0,3.0,4.0,3.0,2.0,17.8,42699480.0,1460.0,366146.0,2.395
3.0,1.0,6.0,3.0,3.0,17.4,40056510.0,1490.0,420907.0,2.384
17.0,4.0,1.0,1.0,1.0,3.6,41699690.0,1303.0,40797.0,3.947
14.0,3.0,11.0,2.0,4.0,12.3,44483540.0,1474.0,44194.0,3.471
21.0,1.0,8.0,4.0,3.0,26.1,44332270.0,1403.0,336658.0,3.6430000000000002
20.0,3.0,9.0,7.0,4.0,22.4,56158180.0,1390.0,485365.0,2.965
11.0,1.0,4.0,2.0,2.0,15.5,42178210.0,1488.0,324738.0,3.333
18.0,2.0,4.0,5.0,2.0,16.9,43862830.0,1480.0,354744.0,3.485
18.0,2.0,7.0,6.0,3.0,26.4,38329850.0,1458.0,427534.0,4.166
19.0,2.0,7.0,7.0,3.0,26.3,38329850.0,1458.0,427534.0,3.9130000000000003
13.0,4.0,1.0,3.0,1.0,8.8,41699690.0,1303.0,40797.0,4.006
22.0,4.0,1.0,7.0,1.0,6.6,41699690.0,1303.0,40797.0,3.253
17.0,1.0,6.0,2.0,3.0,21.2,40056510.0,1490.0,420907.0,3.302
14.0,2.0,2.0,3.0,1.0,9.0,36792560.0,1420.0,484722.0,3.877
20.0,3.0,4.0,3.0,2.0,16.2,42699480.0,1460.0,366146.0,3.266
11.0,2.0,11.0,6.0,4.0,10.5,43824150.0,1456.0,406855.0,3.695
15.0,3.0,10.0,7.0,4.0,20.9,42163910.0,1439.0,418987.0,2.883
21.0,4.0,1.0,4.0,1.0,4.9,41699690.0,1303.0,40797.0,4.084
20.0,4.0,2.0,5.0,1.0,1.3,39368380.0,1378.0,479421.0,4.502
23.0,4.0,1.0,4.0,1.0,2.1,41699690.0,1303.0,40797.0,3.6260000000000003
3.0,3.0,3.0,6.0,2.0,17.2,36765040.0,1426.0,667269.0,2.637
8.0,1.0,5.0,2.0,2.0,26.6,38330190.0,1381.0,331586.0,3.154
13.0,2.0,5.0,3.0,2.0,21.3,39955140.0,1396.0,372567.0,3.3139999999999996
16.0,3.0,4.0,4.0,2.0,21.4,42699480.0,1460.0,366146.0,3.3539999999999996
16.0,1.0,8.0,4.0,3.0,27.5,44332270.0,1403.0,336658.0,4.53
23.0,1.0,4.0,2.0,2.0,7.7,42178210.0,1488.0,324738.0,2.9989999999999997
20.0,2.0,8.0,5.0,3.0,24.8,45887250.0,1393.0,3553.0,3.573
20.0,2.0,3.0,5.0,2.0,8.1,36661700.0,1447.0,69137.0,3.884
22.0,3.0,12.0,4.0,1.0,3.4,42758200.0,1409.0,387522.0,3.7430000000000003
17.0,1.0,5.0,2.0,2.0,20.0,38330190.0,1381.0,331586.0,3.362
