Time;Demand;Year;Month;Day_of_week;Season;Temperature
0;2555;2016;4;6;2;14.5
1;2433;2016;4;6;2;13.3
2;2393;2016;4;6;2;13.8
3;2375;2016;4;6;2;13.0
4;239;2016;4;6;2;12.2
5;2467;2016;4;6;2;11.2
6;2631;2016;4;6;2;10.8
7;2775;2016;4;6;2;12.1
8;2965;2016;4;6;2;13.8
9;3159;2016;4;6;2;15.3
10;3211;2016;4;6;2;16.7
11;3265;2016;4;6;2;16.9
12;316;2016;4;6;2;17.2
13;3288;2016;4;6;2;17.0
14;3361;2016;4;6;2;15.7
15;3362;2016;4;6;2;14.3
16;3406;2016;4;6;2;13.0
17;3438;2016;4;6;2;12.2
18;3501;2016;4;6;2;11.4
19;3381;2016;4;6;2;11.1
20;3242;2016;4;6;2;10.9
21;3084;2016;4;6;2;9.5
22;2973;2016;4;6;2;8.5
23;2811;2016;4;6;2;8.2
0;2613;2016;4;7;2;8.4
1;2492;2016;4;7;2;8.2
2;2431;2016;4;7;2;8.1
3;2403;2016;4;7;2;8.4
4;239;2016;4;7;2;8.8
5;2432;2016;4;7;2;8.8
6;2543;2016;4;7;2;8.9
7;2734;2016;4;7;2;9.2
8;3019;2016;4;7;2;9.7
9;3225;2016;4;7;2;9.8
10;3258;2016;4;7;2;10.1
11;3239;2016;4;7;2;10.4
12;3167;2016;4;7;2;10.8
13;3112;2016;4;7;2;11.5
14;3049;2016;4;7;2;12.1
15;3043;2016;4;7;2;12.7
16;3098;2016;4;7;2;12.7
17;3216;2016;4;7;2;12.6
18;3328;2016;4;7;2;12.2
19;3276;2016;4;7;2;11.9
20;3173;2016;4;7;2;11.5
21;3007;2016;4;7;2;11.3
22;2856;2016;4;7;2;11.1
23;2674;2016;4;7;2;10.9
0;2455;2016;4;1;2;10.0
1;2325;2016;4;1;2;10.0
2;228;2016;4;1;2;10.0
3;2265;2016;4;1;2;9.8
4;2253;2016;4;1;2;9.9
5;2276;2016;4;1;2;9.7
6;233;2016;4;1;2;9.8
7;2493;2016;4;1;2;9.7
8;27;2016;4;1;2;10.2
9;2832;2016;4;1;2;10.6
10;2835;2016;4;1;2;11.3
11;2833;2016;4;1;2;12.0
12;282;2016;4;1;2;12.8
13;2738;2016;4;1;2;13.5
14;2694;2016;4;1;2;14.8
15;2684;2016;4;1;2;15.9
16;2755;2016;4;1;2;16.6
17;292;2016;4;1;2;16.5
18;3132;2016;4;1;2;16.2
19;3114;2016;4;1;2;16.1
20;302;2016;4;1;2;16.1
21;286;2016;4;1;2;16.2
22;269;2016;4;1;2;15.8
23;2494;2016;4;1;2;16.0
0;2304;2016;4;2;2;16.0
1;2206;2016;4;2;2;15.8
2;2179;2016;4;2;2;14.8
3;2189;2016;4;2;2;14.4
4;2216;2016;4;2;2;14.9
5;232;2016;4;2;2;15.4
6;2528;2016;4;2;2;15.7
7;2835;2016;4;2;2;16.0
8;3168;2016;4;2;2;17.3
9;3418;2016;4;2;2;18.4
10;348;2016;4;2;2;18.5
11;3422;2016;4;2;2;16.2
12;32;2016;4;2;2;17.2
13;3323;2016;4;2;2;20.6
14;3322;2016;4;2;2;21.2
15;3312;2016;4;2;2;21.1
16;3349;2016;4;2;2;20.5
17;3346;2016;4;2;2;18.8
18;3436;2016;4;2;2;13.0
19;3337;2016;4;2;2;11.3
20;3213;2016;4;2;2;10.9
21;3067;2016;4;2;2;10.9
22;2982;2016;4;2;2;10.5
23;2797;2016;4;2;2;10.0
0;2551;2016;4;3;2;9.8
1;2427;2016;4;3;2;9.9
2;2392;2016;4;3;2;9.8
3;238;2016;4;3;2;9.7
4;2415;2016;4;3;2;9.6
5;2524;2016;4;3;2;9.7
6;2767;2016;4;3;2;9.6
7;3056;2016;4;3;2;9.6
8;34;2016;4;3;2;9.6
9;3678;2016;4;3;2;9.7
10;3747;2016;4;3;2;10.5
11;3727;2016;4;3;2;11.6
12;3532;2016;4;3;2;11.7
13;367;2016;4;3;2;12.0
14;364;2016;4;3;2;12.3
15;3589;2016;4;3;2;12.3
16;3579;2016;4;3;2;12.1
17;3579;2016;4;3;2;12.0
18;3664;2016;4;3;2;11.6
19;3559;2016;4;3;2;11.1
20;3414;2016;4;3;2;11.1
21;3234;2016;4;3;2;12.0
22;3135;2016;4;3;2;10.9
23;2913;2016;4;3;2;10.8
0;2634;2016;4;4;2;10.1
1;2496;2016;4;4;2;9.7
2;2451;2016;4;4;2;8.6
3;244;2016;4;4;2;8.1
4;2478;2016;4;4;2;7.9
5;2593;2016;4;4;2;7.7
6;2787;2016;4;4;2;8.4
7;2955;2016;4;4;2;10.7
8;3143;2016;4;4;2;13.2
9;3301;2016;4;4;2;15.9
10;3304;2016;4;4;2;17.1
11;3276;2016;4;4;2;18.9
12;3106;2016;4;4;2;19.0
13;3216;2016;4;4;2;18.1
14;3282;2016;4;4;2;19.0
15;3258;2016;4;4;2;19.3
16;327;2016;4;4;2;18.3
17;3262;2016;4;4;2;17.3
18;3392;2016;4;4;2;16.6
19;3319;2016;4;4;2;16.2
20;3206;2016;4;4;2;16.1
21;3055;2016;4;4;2;16.0
22;2948;2016;4;4;2;15.6
23;2746;2016;4;4;2;15.8
0;2512;2016;4;5;2;15.7
1;2387;2016;4;5;2;15.4
2;2349;2016;4;5;2;15.0
3;2344;2016;4;5;2;14.0
4;2367;2016;4;5;2;14.3
5;2462;2016;4;5;2;14.5
6;2695;2016;4;5;2;13.8
7;301;2016;4;5;2;12.2
8;3362;2016;4;5;2;12.1
9;3656;2016;4;5;2;12.0
10;3764;2016;4;5;2;12.1
11;3788;2016;4;5;2;12.3
12;3629;2016;4;5;2;12.3
13;374;2016;4;5;2;12.4
14;3717;2016;4;5;2;12.7
15;3656;2016;4;5;2;13.3
16;3654;2016;4;5;2;14.0
17;3605;2016;4;5;2;15.3
18;3637;2016;4;5;2;17.0
19;3498;2016;4;5;2;19.0
20;3334;2016;4;5;2;14.2
21;3161;2016;4;5;2;13.5
22;3008;2016;4;5;2;13.3
23;279;2016;4;5;2;13.3
0;2557;2016;4;6;2;13.0
1;244;2016;4;6;2;12.1
2;2403;2016;4;6;2;11.8
3;2389;2016;4;6;2;12.5
4;2418;2016;4;6;2;12.6
5;2488;2016;4;6;2;12.4
6;2652;2016;4;6;2;12.7
7;2828;2016;4;6;2;15.3
8;307;2016;4;6;2;18.3
9;327;2016;4;6;2;19.0
10;334;2016;4;6;2;21.4
11;3301;2016;4;6;2;21.1
12;3153;2016;4;6;2;21.3
13;3319;2016;4;6;2;20.3
14;3308;2016;4;6;2;17.8
15;3274;2016;4;6;2;16.5
16;3274;2016;4;6;2;16.2
17;3255;2016;4;6;2;15.8
18;3337;2016;4;6;2;15.6
19;324;2016;4;6;2;15.7
20;3118;2016;4;6;2;15.6
21;2982;2016;4;6;2;15.7
22;2883;2016;4;6;2;15.3
23;2709;2016;4;6;2;14.6
0;2484;2016;4;7;2;13.6
1;2369;2016;4;7;2;14.1
2;2336;2016;4;7;2;13.4
3;2328;2016;4;7;2;12.8
4;2327;2016;4;7;2;11.3
5;2334;2016;4;7;2;11.5
6;2361;2016;4;7;2;14.5
7;2473;2016;4;7;2;16.2
8;2637;2016;4;7;2;18.5
9;2765;2016;4;7;2;19.7
10;2805;2016;4;7;2;20.8
11;2822;2016;4;7;2;21.9
12;2777;2016;4;7;2;22.8
13;285;2016;4;7;2;20.9
14;2838;2016;4;7;2;20.8
15;2814;2016;4;7;2;20.2
16;2815;2016;4;7;2;19.1
17;2876;2016;4;7;2;18.4
18;3053;2016;4;7;2;17.9
19;3019;2016;4;7;2;17.2
20;2927;2016;4;7;2;17.2
21;2764;2016;4;7;2;16.6
22;2666;2016;4;7;2;16.2
23;2516;2016;4;7;2;15.9
0;2347;2016;4;1;2;15.2
1;2248;2016;4;1;2;14.7
2;223;2016;4;1;2;13.7
3;2233;2016;4;1;2;12.8
4;2231;2016;4;1;2;12.4
5;2217;2016;4;1;2;13.0
6;2215;2016;4;1;2;14.9
7;2299;2016;4;1;2;17.6
8;2408;2016;4;1;2;18.7
9;2541;2016;4;1;2;20.1
10;2601;2016;4;1;2;22.1
11;2608;2016;4;1;2;22.4
12;2661;2016;4;1;2;22.5
13;2644;2016;4;1;2;22.4
14;2625;2016;4;1;2;22.5
15;2629;2016;4;1;2;21.2
16;2672;2016;4;1;2;20.1
17;2806;2016;4;1;2;19.2
18;3005;2016;4;1;2;18.4
19;2983;2016;4;1;2;16.8
20;2889;2016;4;1;2;14.7
21;275;2016;4;1;2;12.6
22;2592;2016;4;1;2;12.5
23;2426;2016;4;1;2;12.5
0;2238;2016;4;2;2;11.6
1;215;2016;4;2;2;11.5
2;2149;2016;4;2;2;11.4
3;2171;2016;4;2;2;11.4
4;2215;2016;4;2;2;11.1
5;2324;2016;4;2;2;10.9
6;2546;2016;4;2;2;11.0
7;2823;2016;4;2;2;11.3
8;3116;2016;4;2;2;12.0
9;3339;2016;4;2;2;13.8
10;3367;2016;4;2;2;14.1
11;3333;2016;4;2;2;15.5
12;3193;2016;4;2;2;16.8
13;3313;2016;4;2;2;16.2
14;3332;2016;4;2;2;15.4
15;3338;2016;4;2;2;13.8
16;3401;2016;4;2;2;11.7
17;3474;2016;4;2;2;10.2
18;3634;2016;4;2;2;9.5
19;3556;2016;4;2;2;8.5
20;3438;2016;4;2;2;8.2
21;3304;2016;4;2;2;8.0
22;3221;2016;4;2;2;7.6
23;2999;2016;4;2;2;7.7
0;2702;2016;4;3;2;7.5
1;2566;2016;4;3;2;7.2
2;2526;2016;4;3;2;6.5
3;2526;2016;4;3;2;6.0
4;2566;2016;4;3;2;5.6
5;2687;2016;4;3;2;5.5
6;2949;2016;4;3;2;6.4
7;3095;2016;4;3;2;8.4
8;3286;2016;4;3;2;9.8
9;3447;2016;4;3;2;10.4
10;3472;2016;4;3;2;11.5
11;3447;2016;4;3;2;12.1
12;3257;2016;4;3;2;12.6
13;338;2016;4;3;2;14.1
14;3381;2016;4;3;2;13.5
15;3364;2016;4;3;2;13.2
16;3412;2016;4;3;2;13.2
17;3461;2016;4;3;2;12.1
18;3617;2016;4;3;2;12.3
19;3543;2016;4;3;2;12.4
20;3403;2016;4;3;2;12.7
21;3241;2016;4;3;2;12.6
22;3106;2016;4;3;2;13.0
23;286;2016;4;3;2;13.1
0;2606;2016;4;4;2;13.3
1;2471;2016;4;4;2;13.2
2;244;2016;4;4;2;11.6
3;2439;2016;4;4;2;11.3
4;2456;2016;4;4;2;10.8
5;2559;2016;4;4;2;11.0
6;2808;2016;4;4;2;11.4
7;3062;2016;4;4;2;11.6
8;334;2016;4;4;2;11.7
9;3577;2016;4;4;2;12.7
10;3588;2016;4;4;2;14.2
11;3552;2016;4;4;2;14.8
12;335;2016;4;4;2;17.0
13;3474;2016;4;4;2;18.0
14;3385;2016;4;4;2;19.0
15;3347;2016;4;4;2;18.0
16;3398;2016;4;4;2;17.1
17;3443;2016;4;4;2;16.0
18;3518;2016;4;4;2;16.0
19;3401;2016;4;4;2;16.2
20;3256;2016;4;4;2;15.7
21;3121;2016;4;4;2;15.2
22;3026;2016;4;4;2;15.0
23;2809;2016;4;4;2;15.1
0;2574;2016;4;5;2;14.9
1;2449;2016;4;5;2;14.8
2;2429;2016;4;5;2;14.4
3;2435;2016;4;5;2;13.8
4;2452;2016;4;5;2;13.8
5;2538;2016;4;5;2;13.2
6;2732;2016;4;5;2;13.3
7;2978;2016;4;5;2;13.9
8;3278;2016;4;5;2;14.1
9;3494;2016;4;5;2;14.3
10;3554;2016;4;5;2;14.5
11;3542;2016;4;5;2;15.2
12;3357;2016;4;5;2;15.4
13;3474;2016;4;5;2;16.3
14;3429;2016;4;5;2;16.9
15;335;2016;4;5;2;17.1
16;3379;2016;4;5;2;17.3
17;3376;2016;4;5;2;16.5
18;3463;2016;4;5;2;15.6
19;3373;2016;4;5;2;14.9
20;3218;2016;4;5;2;14.9
21;3064;2016;4;5;2;14.4
22;295;2016;4;5;2;14.7
23;276;2016;4;5;2;14.6
0;2562;2016;4;6;2;14.4
1;2437;2016;4;6;2;16.5
2;2403;2016;4;6;2;16.6
3;2417;2016;4;6;2;15.6
4;2446;2016;4;6;2;15.1
5;2515;2016;4;6;2;14.9
6;2691;2016;4;6;2;16.1
7;2863;2016;4;6;2;17.9
8;3053;2016;4;6;2;18.2
9;3248;2016;4;6;2;19.1
10;3274;2016;4;6;2;19.0
11;3268;2016;4;6;2;20.4
12;3079;2016;4;6;2;19.8
13;3222;2016;4;6;2;19.9
14;3224;2016;4;6;2;19.1
15;323;2016;4;6;2;18.2
16;3278;2016;4;6;2;17.0
17;3262;2016;4;6;2;15.6
18;3367;2016;4;6;2;14.7
19;3304;2016;4;6;2;13.8
20;3172;2016;4;6;2;13.5
21;3051;2016;4;6;2;12.2
22;2956;2016;4;6;2;12.4
23;275;2016;4;6;2;11.7
0;2524;2016;4;7;2;11.7
1;2414;2016;4;7;2;11.8
2;2377;2016;4;7;2;10.8
3;2368;2016;4;7;2;11.0
4;2371;2016;4;7;2;12.1
5;2377;2016;4;7;2;12.1
6;245;2016;4;7;2;12.3
7;2567;2016;4;7;2;13.4
8;2755;2016;4;7;2;14.5
9;2867;2016;4;7;2;15.5
10;2911;2016;4;7;2;17.6
11;2896;2016;4;7;2;18.2
12;283;2016;4;7;2;19.8
13;2856;2016;4;7;2;19.8
14;284;2016;4;7;2;19.9
15;2818;2016;4;7;2;19.7
16;2845;2016;4;7;2;19.0
17;2897;2016;4;7;2;17.7
18;3081;2016;4;7;2;17.2
19;3068;2016;4;7;2;16.9
20;2971;2016;4;7;2;16.7
21;2813;2016;4;7;2;17.3
22;2696;2016;4;7;2;17.4
23;2537;2016;4;7;2;17.4
0;2341;2016;4;1;2;17.1
1;2241;2016;4;1;2;17.5
2;2219;2016;4;1;2;17.6
3;2202;2016;4;1;2;17.4
